gene,ocr_id,distance_to_tss
1600025M17Rik,ImmGenATAC1219.peak_505337,4697
1600027J07Rik,ImmGenATAC1219.peak_467116,22937
1600029I14Rik,ImmGenATAC1219.peak_494979,1
1600029O15Rik,ImmGenATAC1219.peak_485608,1169
1700001C19Rik,ImmGenATAC1219.peak_216131,2433
1700001D01Rik,ImmGenATAC1219.peak_459108,36
1700001F09Rik,ImmGenATAC1219.peak_150553,304
1700001G01Rik,ImmGenATAC1219.peak_229395,9812
1700001G11Rik,ImmGenATAC1219.peak_156351,131
1700001G17Rik,ImmGenATAC1219.peak_3240,9
1700001J03Rik,ImmGenATAC1219.peak_387463,4973
1700001J04Rik,ImmGenATAC1219.peak_92606,3
1700001J11Rik,ImmGenATAC1219.peak_480510,10932
1700001K19Rik,ImmGenATAC1219.peak_115981,85
1700001K23Rik,ImmGenATAC1219.peak_255140,717
1700001L05Rik,ImmGenATAC1219.peak_180089,99
1700001L19Rik,ImmGenATAC1219.peak_133055,36
1700001O22Rik,ImmGenATAC1219.peak_264832,37
1700001P01Rik,ImmGenATAC1219.peak_87694,512
1700003C15Rik,ImmGenATAC1219.peak_359754,70733
1700003D09Rik,ImmGenATAC1219.peak_87929,0
1700003E16Rik,ImmGenATAC1219.peak_403003,14
1700003E24Rik,ImmGenATAC1219.peak_506811,22101
1700003F12Rik,ImmGenATAC1219.peak_290398,60
1700003G18Rik,ImmGenATAC1219.peak_441448,104
1700003H04Rik,ImmGenATAC1219.peak_319430,6663
1700003I22Rik,ImmGenATAC1219.peak_8111,34943
1700003L19Rik,ImmGenATAC1219.peak_187889,3974
1700003M07Rik,ImmGenATAC1219.peak_349751,100
1700003P14Rik,ImmGenATAC1219.peak_143190,2309
1700006A11Rik,ImmGenATAC1219.peak_319414,29031
1700006F04Rik,ImmGenATAC1219.peak_163399,11674
1700006H21Rik,ImmGenATAC1219.peak_140324,1746
1700007F19Rik,ImmGenATAC1219.peak_306099,160
1700007J10Rik,ImmGenATAC1219.peak_77527,30
1700007K13Rik,ImmGenATAC1219.peak_263967,6
1700007L15Rik,ImmGenATAC1219.peak_193259,7
1700007P06Rik,ImmGenATAC1219.peak_35662,3164
1700008C04Rik,ImmGenATAC1219.peak_103305,5376
1700008J07Rik,ImmGenATAC1219.peak_444533,99
1700008K24Rik,ImmGenATAC1219.peak_216781,10801
1700008O03Rik,ImmGenATAC1219.peak_426724,50
1700008P02Rik,ImmGenATAC1219.peak_298701,55337
1700009C05Rik,ImmGenATAC1219.peak_402662,584
1700009J07Rik,ImmGenATAC1219.peak_53435,781
1700009N14Rik,ImmGenATAC1219.peak_331489,23206
1700010B08Rik,ImmGenATAC1219.peak_296780,1890
1700010D01Rik,ImmGenATAC1219.peak_507096,21020
1700010I02Rik,ImmGenATAC1219.peak_298784,10906
1700010I14Rik,ImmGenATAC1219.peak_206470,53
1700010J16Rik,ImmGenATAC1219.peak_61751,16801
1700010K23Rik,ImmGenATAC1219.peak_199091,6229
1700010N08Rik,ImmGenATAC1219.peak_426131,73579
1700011B04Rik,ImmGenATAC1219.peak_124903,441
1700011C11Rik,ImmGenATAC1219.peak_431128,13
1700011L22Rik,ImmGenATAC1219.peak_462425,1657
1700011M02Rik,ImmGenATAC1219.peak_507953,18024
1700012A03Rik,ImmGenATAC1219.peak_393710,1439
1700012B07Rik,ImmGenATAC1219.peak_91711,339
1700012B09Rik,ImmGenATAC1219.peak_476676,2
1700012C14Rik,ImmGenATAC1219.peak_393197,134
1700012D01Rik,ImmGenATAC1219.peak_65453,203
1700012D14Rik,ImmGenATAC1219.peak_439894,91
1700012D16Rik,ImmGenATAC1219.peak_325847,229
1700012H19Rik,ImmGenATAC1219.peak_92114,1584
1700012I11Rik,ImmGenATAC1219.peak_175786,865
1700012J15Rik,ImmGenATAC1219.peak_390131,9058
1700012P22Rik,ImmGenATAC1219.peak_354808,7912
1700013D24Rik,ImmGenATAC1219.peak_413507,2132
1700013F07Rik,ImmGenATAC1219.peak_316870,151
1700013G24Rik,ImmGenATAC1219.peak_352670,4048
1700013H16Rik,ImmGenATAC1219.peak_505324,4069
1700015G11Rik,ImmGenATAC1219.peak_428571,340
1700016A09Rik,ImmGenATAC1219.peak_471938,19
1700016B01Rik,ImmGenATAC1219.peak_377739,1012
1700016C15Rik,ImmGenATAC1219.peak_32776,557
1700016D06Rik,ImmGenATAC1219.peak_451760,7637
1700016G22Rik,ImmGenATAC1219.peak_118980,2259
1700016H13Rik,ImmGenATAC1219.peak_375329,137
1700016K05Rik,ImmGenATAC1219.peak_220051,1085
1700016K19Rik,ImmGenATAC1219.peak_81838,24
1700016L04Rik,ImmGenATAC1219.peak_40825,55
1700016L21Rik,ImmGenATAC1219.peak_13009,343
1700016P04Rik,ImmGenATAC1219.peak_390757,612
1700017B05Rik,ImmGenATAC1219.peak_485214,78
1700017G19Rik,ImmGenATAC1219.peak_303634,148
1700017J07Rik,ImmGenATAC1219.peak_295363,5
1700017L05Rik,ImmGenATAC1219.peak_371653,425
1700017N19Rik,ImmGenATAC1219.peak_60221,3127
1700018A04Rik,ImmGenATAC1219.peak_124028,2429
1700018B08Rik,ImmGenATAC1219.peak_472375,2739
1700018B24Rik,ImmGenATAC1219.peak_304128,21810
1700018F24Rik,ImmGenATAC1219.peak_387339,210
1700018G05Rik,ImmGenATAC1219.peak_507953,1443
1700018L02Rik,ImmGenATAC1219.peak_249710,49
1700019A02Rik,ImmGenATAC1219.peak_7352,987
1700019C18Rik,ImmGenATAC1219.peak_124913,1654
1700019D03Rik,ImmGenATAC1219.peak_7333,3739
1700019E08Rik,ImmGenATAC1219.peak_268359,1956
1700019F05Rik,ImmGenATAC1219.peak_370452,2246
1700019G24Rik,ImmGenATAC1219.peak_389881,263
1700019J19Rik,ImmGenATAC1219.peak_476390,55
1700019M22Rik,ImmGenATAC1219.peak_111838,16836
1700019N19Rik,ImmGenATAC1219.peak_256820,2019
1700019P21Rik,ImmGenATAC1219.peak_23963,8418
1700020A23Rik,ImmGenATAC1219.peak_284882,583
1700020D05Rik,ImmGenATAC1219.peak_244775,6000
1700020D14Rik,ImmGenATAC1219.peak_512491,1461
1700020G17Rik,ImmGenATAC1219.peak_61190,2070
1700020L24Rik,ImmGenATAC1219.peak_84131,2225
1700020M21Rik,ImmGenATAC1219.peak_500456,15
1700020N01Rik,ImmGenATAC1219.peak_42644,1091
1700020N15Rik,ImmGenATAC1219.peak_505762,8233
1700020N18Rik,ImmGenATAC1219.peak_15879,141
1700021F02Rik,ImmGenATAC1219.peak_375222,2522
1700021F07Rik,ImmGenATAC1219.peak_296704,4748
1700021G15Rik,ImmGenATAC1219.peak_64919,1082
1700021L23Rik,ImmGenATAC1219.peak_347936,15187
1700021N21Rik,ImmGenATAC1219.peak_351452,2012
1700022A21Rik,ImmGenATAC1219.peak_361614,6833
1700022A22Rik,ImmGenATAC1219.peak_171531,2974
1700022E09Rik,ImmGenATAC1219.peak_198525,366
1700022H01Rik,ImmGenATAC1219.peak_49892,96
1700022H16Rik,ImmGenATAC1219.peak_97095,144
1700022I11Rik,ImmGenATAC1219.peak_332108,1023
1700022N22Rik,ImmGenATAC1219.peak_209887,45
1700023A20Rik,ImmGenATAC1219.peak_479075,68
1700023C21Rik,ImmGenATAC1219.peak_91715,1377
1700023D09Rik,ImmGenATAC1219.peak_245771,113
1700023F02Rik,ImmGenATAC1219.peak_50575,27809
1700024B18Rik,ImmGenATAC1219.peak_164836,1868
1700024G13Rik,ImmGenATAC1219.peak_149113,45
1700024I08Rik,ImmGenATAC1219.peak_132539,5439
1700024J04Rik,ImmGenATAC1219.peak_74642,3005
1700024N05Rik,ImmGenATAC1219.peak_396394,23404
1700025B11Rik,ImmGenATAC1219.peak_177925,19860
1700025C18Rik,ImmGenATAC1219.peak_293419,126
1700025D23Rik,ImmGenATAC1219.peak_92580,1976
1700025F24Rik,ImmGenATAC1219.peak_63363,4687
1700025G04Rik,ImmGenATAC1219.peak_25637,44
1700025J12Rik,ImmGenATAC1219.peak_442817,696
1700025K04Rik,ImmGenATAC1219.peak_64924,1083
1700025K24Rik,ImmGenATAC1219.peak_217958,9842
1700025M24Rik,ImmGenATAC1219.peak_370304,77
1700025N23Rik,ImmGenATAC1219.peak_395471,157
1700025O08Rik,ImmGenATAC1219.peak_329868,72073
1700026D11Rik,ImmGenATAC1219.peak_285638,387
1700026F02Rik,ImmGenATAC1219.peak_460917,8442
1700026J12Rik,ImmGenATAC1219.peak_196605,9784
1700026J14Rik,ImmGenATAC1219.peak_396981,116
1700027A15Rik,ImmGenATAC1219.peak_11537,10900
1700027F06Rik,ImmGenATAC1219.peak_413510,25
1700027F09Rik,ImmGenATAC1219.peak_368294,1379
1700027H10Rik,ImmGenATAC1219.peak_304079,6957
1700027I24Rik,ImmGenATAC1219.peak_480106,5656
1700027J07Rik,ImmGenATAC1219.peak_46797,43
1700028B04Rik,ImmGenATAC1219.peak_424079,5881
1700028D13Rik,ImmGenATAC1219.peak_377748,309
1700028E10Rik,ImmGenATAC1219.peak_389330,2
1700028I16Rik,ImmGenATAC1219.peak_55090,99
1700028J19Rik,ImmGenATAC1219.peak_426666,3956
1700028K03Rik,ImmGenATAC1219.peak_376509,153
1700028M03Rik,ImmGenATAC1219.peak_309703,305
1700028P14Rik,ImmGenATAC1219.peak_248720,25
1700028P15Rik,ImmGenATAC1219.peak_296095,21935
1700029B22Rik,ImmGenATAC1219.peak_445581,6810
1700029F12Rik,ImmGenATAC1219.peak_137597,1092
1700029H14Rik,ImmGenATAC1219.peak_452461,31
1700029I15Rik,ImmGenATAC1219.peak_277365,1373
1700029J03Rik,ImmGenATAC1219.peak_202824,548
1700029J07Rik,ImmGenATAC1219.peak_457340,70
1700029M03Rik,ImmGenATAC1219.peak_29356,102
1700029M20Rik,ImmGenATAC1219.peak_352033,3340
1700029N11Rik,ImmGenATAC1219.peak_127466,1758
1700029P11Rik,ImmGenATAC1219.peak_179663,2433
1700030A11Rik,ImmGenATAC1219.peak_211184,273
1700030C10Rik,ImmGenATAC1219.peak_98787,78
1700030C12Rik,ImmGenATAC1219.peak_70306,45
1700030C14Rik,ImmGenATAC1219.peak_289650,32
1700030F04Rik,ImmGenATAC1219.peak_411674,757
1700030J22Rik,ImmGenATAC1219.peak_470711,15
1700030K09Rik,ImmGenATAC1219.peak_461472,82
1700030L20Rik,ImmGenATAC1219.peak_321981,101
1700030M09Rik,ImmGenATAC1219.peak_472376,2917
1700030N03Rik,ImmGenATAC1219.peak_243945,6980
1700030O20Rik,ImmGenATAC1219.peak_62256,213
1700031A10Rik,ImmGenATAC1219.peak_214168,3381
1700031F05Rik,ImmGenATAC1219.peak_507953,60575
1700031L13Rik,ImmGenATAC1219.peak_371835,1391
1700031M16Rik,ImmGenATAC1219.peak_183621,6456
1700031P21Rik,ImmGenATAC1219.peak_103654,319
1700034E13Rik,ImmGenATAC1219.peak_234854,1606
1700034G24Rik,ImmGenATAC1219.peak_377947,6286
1700034H15Rik,ImmGenATAC1219.peak_36889,87
1700034I23Rik,ImmGenATAC1219.peak_303723,854
1700034J05Rik,ImmGenATAC1219.peak_419852,9
1700034K08Rik,ImmGenATAC1219.peak_493568,68251
1700034P13Rik,ImmGenATAC1219.peak_575,17
1700036G14Rik,ImmGenATAC1219.peak_310364,3142
1700037C18Rik,ImmGenATAC1219.peak_185789,20
1700037H04Rik,ImmGenATAC1219.peak_285124,460
1700039E22Rik,ImmGenATAC1219.peak_253648,26
1700039M10Rik,ImmGenATAC1219.peak_153763,9
1700040D17Rik,ImmGenATAC1219.peak_312455,248
1700040K01Rik,ImmGenATAC1219.peak_25944,8
1700041A01Rik,ImmGenATAC1219.peak_371996,47724
1700041C23Rik,ImmGenATAC1219.peak_485193,6628
1700041M19Rik,ImmGenATAC1219.peak_200024,1587
1700042G07Rik,ImmGenATAC1219.peak_345612,73
1700042G15Rik,ImmGenATAC1219.peak_335766,2987
1700042O10Rik,ImmGenATAC1219.peak_68311,23
1700044C05Rik,ImmGenATAC1219.peak_163021,1523
1700044K03Rik,ImmGenATAC1219.peak_234445,844
1700045H11Rik,ImmGenATAC1219.peak_356652,35
1700047A11Rik,ImmGenATAC1219.peak_454450,1193
1700047E10Rik,ImmGenATAC1219.peak_150678,3041
1700047G03Rik,ImmGenATAC1219.peak_166713,474
1700047L14Rik,ImmGenATAC1219.peak_376938,5249
1700047M11Rik,ImmGenATAC1219.peak_34330,7271
1700048F04Rik,ImmGenATAC1219.peak_382566,10645
1700048M11Rik,ImmGenATAC1219.peak_202303,47
1700048O14Rik,ImmGenATAC1219.peak_249254,2202
1700048O20Rik,ImmGenATAC1219.peak_500847,48
1700049E15Rik,ImmGenATAC1219.peak_420085,265
1700049E17Rik1,ImmGenATAC1219.peak_150434,10868
1700049E17Rik2,ImmGenATAC1219.peak_150434,10868
1700049E22Rik,ImmGenATAC1219.peak_408407,109
1700049L16Rik,ImmGenATAC1219.peak_52145,16660
1700051A21Rik,ImmGenATAC1219.peak_80769,67
1700052I22Rik,ImmGenATAC1219.peak_108842,25
1700052K11Rik,ImmGenATAC1219.peak_90159,58
1700054A03Rik,ImmGenATAC1219.peak_255024,75
1700054K19Rik,ImmGenATAC1219.peak_409595,43
1700054M17Rik,ImmGenATAC1219.peak_281457,1074
1700055C04Rik,ImmGenATAC1219.peak_487476,3666
1700055D16Rik,ImmGenATAC1219.peak_416456,83
1700055D18Rik,ImmGenATAC1219.peak_332789,16
1700056E22Rik,ImmGenATAC1219.peak_34908,166
1700057G04Rik,ImmGenATAC1219.peak_493464,1223
1700057H15Rik,ImmGenATAC1219.peak_347966,269
1700057H21Rik,ImmGenATAC1219.peak_269487,1088
1700060C16Rik,ImmGenATAC1219.peak_418622,3810
1700060C20Rik,ImmGenATAC1219.peak_291635,2379
1700061F12Rik,ImmGenATAC1219.peak_259226,1703
1700061I17Rik,ImmGenATAC1219.peak_318114,927
1700061J23Rik,ImmGenATAC1219.peak_70250,2144
1700061N14Rik,ImmGenATAC1219.peak_457982,2456
1700063A18Rik,ImmGenATAC1219.peak_17091,8806
1700063D05Rik,ImmGenATAC1219.peak_481009,1490
1700063H04Rik,ImmGenATAC1219.peak_413081,762
1700063O14Rik,ImmGenATAC1219.peak_372780,457
1700064J06Rik,ImmGenATAC1219.peak_63293,5887
1700064M15Rik,ImmGenATAC1219.peak_112462,119
1700065D16Rik,ImmGenATAC1219.peak_494070,70
1700065I16Rik,ImmGenATAC1219.peak_174818,4124
1700065J11Rik,ImmGenATAC1219.peak_394607,2665
1700065J18Rik,ImmGenATAC1219.peak_37212,92
1700065L07Rik,ImmGenATAC1219.peak_402466,34322
1700065O20Rik,ImmGenATAC1219.peak_234505,1786
1700066B17Rik,ImmGenATAC1219.peak_5241,128
1700066B19Rik,ImmGenATAC1219.peak_231785,95
1700066C05Rik,ImmGenATAC1219.peak_200440,3824
1700066J03Rik,ImmGenATAC1219.peak_131359,1457
1700066M21Rik,ImmGenATAC1219.peak_8249,50
1700066N21Rik,ImmGenATAC1219.peak_371995,12958
1700066O22Rik,ImmGenATAC1219.peak_236193,3739
1700067G17Rik,ImmGenATAC1219.peak_14904,96
1700067K01Rik,ImmGenATAC1219.peak_463724,2684
1700067P10Rik,ImmGenATAC1219.peak_216466,6138
1700069L16Rik,ImmGenATAC1219.peak_378342,142
1700069P05Rik,ImmGenATAC1219.peak_411840,440
1700071K01Rik,ImmGenATAC1219.peak_83578,4372
1700071M16Rik,ImmGenATAC1219.peak_214754,1329
1700072B07Rik,ImmGenATAC1219.peak_485674,641
1700072I22Rik,ImmGenATAC1219.peak_89820,668
1700072O05Rik,ImmGenATAC1219.peak_412573,219
1700073E17Rik,ImmGenATAC1219.peak_419201,1059
1700074H08Rik,ImmGenATAC1219.peak_143299,124
1700074P13Rik,ImmGenATAC1219.peak_395974,20975
1700080G11Rik,ImmGenATAC1219.peak_349004,1079
1700080N15Rik,ImmGenATAC1219.peak_258023,5088
1700080O16Rik,ImmGenATAC1219.peak_505090,17856
1700081H04Rik,ImmGenATAC1219.peak_380169,4538
1700083H02Rik,ImmGenATAC1219.peak_105984,1855
1700084D21Rik,ImmGenATAC1219.peak_142126,997
1700084E18Rik,ImmGenATAC1219.peak_264583,40
1700084F23Rik,ImmGenATAC1219.peak_133277,42
1700084J12Rik,ImmGenATAC1219.peak_169099,15632
1700085C21Rik,ImmGenATAC1219.peak_109341,1629
1700086L19Rik,ImmGenATAC1219.peak_106887,9
1700086O06Rik,ImmGenATAC1219.peak_232526,23
1700088E04Rik,ImmGenATAC1219.peak_178610,63
1700092C02Rik,ImmGenATAC1219.peak_462099,47
1700092C10Rik,ImmGenATAC1219.peak_156906,111
1700092E19Rik,ImmGenATAC1219.peak_122829,4791
1700092K14Rik,ImmGenATAC1219.peak_92611,320
1700092M07Rik,ImmGenATAC1219.peak_245765,669
1700093K21Rik,ImmGenATAC1219.peak_70311,1765
1700094D03Rik,ImmGenATAC1219.peak_311923,1759
1700094J05Rik,ImmGenATAC1219.peak_52878,2799
1700094M24Rik,ImmGenATAC1219.peak_398247,79
1700095A21Rik,ImmGenATAC1219.peak_355211,724
1700095B10Rik,ImmGenATAC1219.peak_377975,703
1700095J03Rik,ImmGenATAC1219.peak_439193,31
1700095J07Rik,ImmGenATAC1219.peak_393139,95
1700095J12Rik,ImmGenATAC1219.peak_352945,1861
1700095K22Rik,ImmGenATAC1219.peak_420783,4788
1700096J18Rik,ImmGenATAC1219.peak_91463,464
1700096K18Rik,ImmGenATAC1219.peak_361934,172
1700096P03Rik,ImmGenATAC1219.peak_464709,1069
1700097N02Rik,ImmGenATAC1219.peak_211915,5283
1700099I09Rik,ImmGenATAC1219.peak_139257,487
1700100L14Rik,ImmGenATAC1219.peak_133315,1301
1700101I11Rik,ImmGenATAC1219.peak_415516,124
1700101O22Rik,ImmGenATAC1219.peak_96649,43067
1700102H20Rik,ImmGenATAC1219.peak_204792,41
1700102P08Rik,ImmGenATAC1219.peak_497096,5710
1700104L18Rik,ImmGenATAC1219.peak_103970,243
1700105P06Rik,ImmGenATAC1219.peak_245569,65
1700108F19Rik,ImmGenATAC1219.peak_159007,1151
1700108J01Rik,ImmGenATAC1219.peak_164542,5894
1700109G14Rik,ImmGenATAC1219.peak_154638,623
1700109G15Rik,ImmGenATAC1219.peak_84507,1768
1700109H08Rik,ImmGenATAC1219.peak_358744,1034
1700109I08Rik,ImmGenATAC1219.peak_150231,2697
1700109K24Rik,ImmGenATAC1219.peak_177843,4099
1700110C19Rik,ImmGenATAC1219.peak_206703,1196
1700110I01Rik,ImmGenATAC1219.peak_143442,52828
1700110I07Rik,ImmGenATAC1219.peak_426259,72722
1700110K17Rik,ImmGenATAC1219.peak_480587,328
1700111N16Rik,ImmGenATAC1219.peak_505764,17624
1700112D23Rik,ImmGenATAC1219.peak_301715,72
1700112H15Rik,ImmGenATAC1219.peak_35120,731
1700112J05Rik,ImmGenATAC1219.peak_371439,2110
1700112J16Rik,ImmGenATAC1219.peak_430272,82
1700113A16Rik,ImmGenATAC1219.peak_311188,4187
1700113B09Rik,ImmGenATAC1219.peak_52032,1171
1700113H08Rik,ImmGenATAC1219.peak_56603,154
1700116B05Rik,ImmGenATAC1219.peak_197148,3832
1700119H24Rik,ImmGenATAC1219.peak_193816,80
1700120B22Rik,ImmGenATAC1219.peak_50427,43
1700120C14Rik,ImmGenATAC1219.peak_183979,86
1700120E14Rik,ImmGenATAC1219.peak_240203,2056
1700120G07Rik,ImmGenATAC1219.peak_446683,260
1700120K04Rik,ImmGenATAC1219.peak_444551,15
1700121L16Rik,ImmGenATAC1219.peak_508183,2255
1700121N20Rik,ImmGenATAC1219.peak_114790,1702
1700122C19Rik,ImmGenATAC1219.peak_251780,540
1700122H20Rik,ImmGenATAC1219.peak_205827,2731
1700122O11Rik,ImmGenATAC1219.peak_216448,1181
1700123J17Rik,ImmGenATAC1219.peak_443933,2
1700123K08Rik,ImmGenATAC1219.peak_385312,6116
1700123L14Rik,ImmGenATAC1219.peak_406981,187
1700123M08Rik,ImmGenATAC1219.peak_328832,117
1700123O12Rik,ImmGenATAC1219.peak_328372,3682
1700123O20Rik,ImmGenATAC1219.peak_152974,18
1700123O21Rik,ImmGenATAC1219.peak_186496,8237
1700124L16Rik,ImmGenATAC1219.peak_403256,558
1700124M09Rik,ImmGenATAC1219.peak_41690,19
1700125G02Rik,ImmGenATAC1219.peak_348118,16
1700125G22Rik,ImmGenATAC1219.peak_301126,113
1700125H03Rik,ImmGenATAC1219.peak_460037,26
1700125H20Rik,ImmGenATAC1219.peak_84594,832
1700126A01Rik,ImmGenATAC1219.peak_8221,61670
1700126H18Rik,ImmGenATAC1219.peak_369116,66
1700128A07Rik,ImmGenATAC1219.peak_162535,2054
1700128F08Rik,ImmGenATAC1219.peak_475841,4347
1700129C05Rik,ImmGenATAC1219.peak_154052,12907
1810006J02Rik,ImmGenATAC1219.peak_17343,43
1810007C17Rik,ImmGenATAC1219.peak_103257,5701
1810007D17Rik,ImmGenATAC1219.peak_256803,9135
1810008I18Rik,ImmGenATAC1219.peak_429790,42
1810009A15Rik,ImmGenATAC1219.peak_245830,8
1810009J06Rik,ImmGenATAC1219.peak_395975,19168
1810010H24Rik,ImmGenATAC1219.peak_90798,81
1810012K16Rik,ImmGenATAC1219.peak_453388,114
1810013A23Rik,ImmGenATAC1219.peak_210892,1258
1810013L24Rik,ImmGenATAC1219.peak_186849,151
1810014B01Rik,ImmGenATAC1219.peak_56463,2
1810018F18Rik,ImmGenATAC1219.peak_256810,9795
1810019D21Rik,ImmGenATAC1219.peak_467907,134
1810019N24Rik,ImmGenATAC1219.peak_421457,67
1810020O05Rik,ImmGenATAC1219.peak_404564,72
1810021B22Rik,ImmGenATAC1219.peak_181636,70
1810024B03Rik,ImmGenATAC1219.peak_283759,2
1810030O07Rik,ImmGenATAC1219.peak_503022,6
1810034E14Rik,ImmGenATAC1219.peak_132705,59
1810037I17Rik,ImmGenATAC1219.peak_319158,26
1810041H14Rik,ImmGenATAC1219.peak_164285,23
1810044D09Rik,ImmGenATAC1219.peak_405897,75
1810046K07Rik,ImmGenATAC1219.peak_483954,53
1810049I09Rik,ImmGenATAC1219.peak_429670,7
1810053B23Rik,ImmGenATAC1219.peak_202790,573
1810055G02Rik,ImmGenATAC1219.peak_244138,18
1810058I24Rik,ImmGenATAC1219.peak_394567,4
1810062G17Rik,ImmGenATAC1219.peak_302730,2475
1810062O18Rik,ImmGenATAC1219.peak_145961,50
1810063I02Rik,ImmGenATAC1219.peak_77578,63
1810064F22Rik,ImmGenATAC1219.peak_477764,49
1810065E05Rik,ImmGenATAC1219.peak_77157,2385
1810073O08Rik,ImmGenATAC1219.peak_224141,100
2010001A14Rik,ImmGenATAC1219.peak_76914,47
2010003K11Rik,ImmGenATAC1219.peak_244489,77
2010009K17Rik,ImmGenATAC1219.peak_291568,1719
2010010A06Rik,ImmGenATAC1219.peak_240482,1868
2010016I18Rik,ImmGenATAC1219.peak_316114,105
2010106C02Rik,ImmGenATAC1219.peak_225038,77
2010106E10Rik,ImmGenATAC1219.peak_508685,3290
2010109A12Rik,ImmGenATAC1219.peak_373344,2
2010204K13Rik,ImmGenATAC1219.peak_502135,2
2010308F09Rik,ImmGenATAC1219.peak_503129,558
2010310C07Rik,ImmGenATAC1219.peak_396302,703
2010315B03Rik,ImmGenATAC1219.peak_501641,20
2010320M18Rik,ImmGenATAC1219.peak_460833,53
2200002D01Rik,ImmGenATAC1219.peak_424427,15
2200002J24Rik,ImmGenATAC1219.peak_424858,295
2210010C04Rik,ImmGenATAC1219.peak_395984,3519
2210016F16Rik,ImmGenATAC1219.peak_131428,3
2210016L21Rik,ImmGenATAC1219.peak_378892,12
2210039B01Rik,ImmGenATAC1219.peak_106595,328
2210404E10Rik,ImmGenATAC1219.peak_246296,573
2210406O10Rik,ImmGenATAC1219.peak_364569,70
2210407C18Rik,ImmGenATAC1219.peak_77176,34
2210408F21Rik,ImmGenATAC1219.peak_393479,3
2210408I21Rik,ImmGenATAC1219.peak_134418,18
2210409D07Rik,ImmGenATAC1219.peak_236235,180
2210409E12Rik,ImmGenATAC1219.peak_85799,1246
